id,source,target,tweet_id,type
emrullahbingl1881Erdem,emrullahbingl,1881Erdem,1548020582263898117,retweet
ferhat096108681881Erdem,ferhat09610868,1881Erdem,1548023340887003136,retweet
geliyorum51881Erdem,geliyorum5,1881Erdem,1548026031537135619,retweet
harun_crypto1881Erdem,harun_crypto,1881Erdem,1550424870172999681,retweet
kahraman34061881Erdem,kahraman3406,1881Erdem,1548014555476897792,retweet
kaya8721211881Erdem,kaya872121,1881Erdem,1548985088494473216,retweet
kaya872121Coinmatik1,kaya872121,Coinmatik1,1549874753200177153,retweet
mazellanss1881Erdem,mazellanss,1881Erdem,1548026199732936706,retweet
mehmetarifyild11881Erdem,mehmetarifyild1,1881Erdem,1548008423827992576,retweet
musa496644201881Erdem,musa49664420,1881Erdem,1548048622863798272,retweet
musa49664420ceekhaber,musa49664420,ceekhaber,1545660262027509761,retweet
musaala764664741881Erdem,musaala76466474,1881Erdem,1548027973911031813,retweet
nur3435061881Erdem,nur343506,1881Erdem,1548032679932620800,retweet
okesmrdly1881Erdem,okesmrdly,1881Erdem,1548008844533452800,retweet
serdar_gulerrr1881Erdem,serdar_gulerrr,1881Erdem,1548017310325096448,retweet
serdar_kenger1881Erdem,serdar_kenger,1881Erdem,1548600473330016256,retweet
serdar_kengerVforrkripto,serdar_kenger,Vforrkripto,1550558369810890754,retweet
tahir_erkek1881Erdem,tahir_erkek,1881Erdem,1548170175907708930,retweet
MicheleDalise1967populist,MicheleDalise,1967populist,1547002457749856256,retweet
Arminas1102201EthFP,Arminas110220,1EthFP,1552424208491216897,quote
GenXIsNotWoke1LuvsUsa,GenXIsNotWoke,1LuvsUsa,1553196190279340032,quote
GenXIsNotWokeAmerica1Scotty,GenXIsNotWoke,America1Scotty,1553377505146462208,quote
GenXIsNotWokeCassandraRules,GenXIsNotWoke,CassandraRules,1553572451212312576,quote
GenXIsNotWokeClintNelson20,GenXIsNotWoke,ClintNelson20,1550661324958584835,quote
GenXIsNotWokeGovRonDeSantis,GenXIsNotWoke,GovRonDeSantis,1550838324536958977,quote
GenXIsNotWokeJesseKellyDC,GenXIsNotWoke,JesseKellyDC,1548019103389978626,quote
GenXIsNotWokeJim_Jordan,GenXIsNotWoke,Jim_Jordan,1549194690444009472,quote
GenXIsNotWokeLarryBradyBunch,GenXIsNotWoke,LarryBradyBunch,1550835225781014529,quote
GenXIsNotWokePicsOrIt,GenXIsNotWoke,PicsOrIt,1552677513415036928,quote
GenXIsNotWokeRaheemKassam,GenXIsNotWoke,RaheemKassam,1548052452296888325,quote
GenXIsNotWokeTedNugent,GenXIsNotWoke,TedNugent,1546680778016395264,quote
GenXIsNotWokedebbiea22238066,GenXIsNotWoke,debbiea22238066,1547634175749984258,quote
