date,hits,keyword,geo,time,gprop,category
2022-11-08,54,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-09,52,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-10,52,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-11,71,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-12,75,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-13,84,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-14,60,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-15,60,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-16,56,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-17,58,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-18,79,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-19,79,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-20,100,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-21,61,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-22,70,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-23,57,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-24,56,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-25,67,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-26,70,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-27,74,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-28,54,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-29,56,prime video,world,2022-10-01 2022-12-07,web,0
2022-11-30,53,prime video,world,2022-10-01 2022-12-07,web,0
2022-12-01,55,prime video,world,2022-10-01 2022-12-07,web,0
2022-12-02,64,prime video,world,2022-10-01 2022-12-07,web,0
2022-12-03,71,prime video,world,2022-10-01 2022-12-07,web,0
2022-12-04,74,prime video,world,2022-10-01 2022-12-07,web,0
2022-12-05,63,prime video,world,2022-10-01 2022-12-07,web,0
2022-12-06,52,prime video,world,2022-10-01 2022-12-07,web,0
2022-12-07,55,prime video,world,2022-10-01 2022-12-07,web,0
2022-10-01,84,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-02,87,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-03,87,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-04,79,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-05,76,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-06,64,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-07,73,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-08,86,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-09,93,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-10,96,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-11,82,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-12,79,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-13,71,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-14,71,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-15,81,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-16,84,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-17,89,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-18,75,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-19,69,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-20,64,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-21,70,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-22,86,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-23,92,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-24,96,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-25,76,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-26,73,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-27,65,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-28,84,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-29,77,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-30,89,hbo max,world,2022-10-01 2022-12-07,web,0
2022-10-31,75,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-01,81,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-02,77,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-03,62,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-04,79,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-05,94,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-06,86,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-07,69,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-08,65,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-09,61,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-10,58,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-11,70,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-12,76,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-13,86,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-14,68,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-15,67,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-16,61,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-17,64,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-18,68,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-19,91,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-20,100,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-21,69,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-22,64,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-23,69,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-24,67,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-25,72,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-26,80,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-27,90,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-28,69,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-29,65,hbo max,world,2022-10-01 2022-12-07,web,0
2022-11-30,59,hbo max,world,2022-10-01 2022-12-07,web,0
2022-12-01,60,hbo max,world,2022-10-01 2022-12-07,web,0
2022-12-02,67,hbo max,world,2022-10-01 2022-12-07,web,0
2022-12-03,83,hbo max,world,2022-10-01 2022-12-07,web,0
2022-12-04,83,hbo max,world,2022-10-01 2022-12-07,web,0
2022-12-05,69,hbo max,world,2022-10-01 2022-12-07,web,0
2022-12-06,57,hbo max,world,2022-10-01 2022-12-07,web,0
2022-12-07,66,hbo max,world,2022-10-01 2022-12-07,web,0
